0.9042,0.9035,0.8969,0.89,0.8768,0.8601,0.8392,0.8038,0.7747,0.7331,0.6968,0.6648,0.6243,0.5912,0.5522,0.5246,0.4948,0.4676,0.4471,0.4147,0.3919,0.3692,0.3491,0.3282,0.3081,0.292,0.2775,0.2641,0.2483,0.2386,0.2276,0.2177,0.2092,0.2,0.1909,0.1861,0.1809,0.1804,0.1694,0.1698,0.162,0.1608,0.1532,0.1531,0.1466,0.1465,0.1449,0.1393,0.1362,0.1359
0.9024,0.9012,0.9023,0.9017,0.9004,0.8985,0.899,0.8922,0.889,0.8868,0.881,0.8767,0.8694,0.8674,0.8589,0.8504,0.8449,0.833,0.8248,0.815,0.8041,0.7843,0.7721,0.762,0.7453,0.7282,0.712,0.6923,0.6747,0.6594,0.6495,0.625,0.6132,0.6019,0.5874,0.5716,0.5578,0.5438,0.5275,0.5276,0.5093,0.5048,0.4918,0.4783,0.4723,0.4628,0.4554,0.4456,0.4331,0.4349
0.8956,0.8943,0.8927,0.8909,0.8881,0.8848,0.8846,0.8805,0.8797,0.8739,0.8711,0.8682,0.8648,0.8619,0.8565,0.8539,0.8483,0.8416,0.8336,0.8315,0.8253,0.819,0.8162,0.8073,0.8062,0.7964,0.7951,0.7797,0.7792,0.7717,0.7627,0.7533,0.7445,0.7385,0.7348,0.7211,0.7113,0.7052,0.6978,0.6884,0.6867,0.6745,0.6686,0.6625,0.6525,0.6499,0.6359,0.6343,0.6239,0.6096
0.8961,0.8953,0.8945,0.8917,0.8907,0.8888,0.8884,0.8853,0.8831,0.8798,0.8769,0.873,0.8708,0.8666,0.862,0.8628,0.8565,0.8514,0.8521,0.846,0.8391,0.8409,0.839,0.8372,0.8328,0.8254,0.8199,0.8142,0.8145,0.8063,0.806,0.8012,0.8003,0.7926,0.7875,0.7848,0.7802,0.7785,0.7692,0.7685,0.7632,0.7621,0.754,0.7465,0.7398,0.7323,0.7351,0.7345,0.7235,0.7232
0.8958,0.8949,0.8945,0.8931,0.8916,0.8923,0.8878,0.8899,0.8856,0.8819,0.8808,0.8799,0.8756,0.877,0.8764,0.8701,0.8674,0.8657,0.8625,0.8636,0.8591,0.8582,0.8502,0.8534,0.85,0.8424,0.8443,0.8427,0.8383,0.8371,0.8374,0.8281,0.825,0.8263,0.8213,0.8142,0.8132,0.8131,0.8042,0.7981,0.7945,0.7926,0.7945,0.7841,0.7734,0.7779,0.7768,0.7732,0.7642,0.7605
0.8968,0.8961,0.8957,0.8954,0.8932,0.8916,0.8907,0.8882,0.8877,0.8829,0.8814,0.8794,0.8763,0.8758,0.872,0.8695,0.8661,0.859,0.8604,0.8571,0.8563,0.854,0.8489,0.85,0.8445,0.8423,0.8366,0.8398,0.8305,0.8328,0.8249,0.8237,0.8198,0.8214,0.8168,0.8134,0.8099,0.8097,0.8085,0.7998,0.8007,0.7943,0.792,0.79,0.79,0.7849,0.7805,0.778,0.7791,0.7725
0.9055,0.904,0.9028,0.9019,0.9014,0.9013,0.8978,0.8972,0.895,0.8931,0.8888,0.8853,0.8852,0.8809,0.8692,0.8667,0.8632,0.8514,0.8463,0.8421,0.8311,0.8233,0.8142,0.801,0.7908,0.7817,0.7665,0.7554,0.744,0.7333,0.7181,0.7058,0.6925,0.6772,0.6629,0.6502,0.6379,0.6342,0.6154,0.6101,0.5953,0.5886,0.5666,0.5663,0.5465,0.5451,0.5326,0.5236,0.5104,0.5111
0.8954,0.8944,0.893,0.8917,0.8905,0.8883,0.8854,0.8837,0.8804,0.8774,0.8753,0.8727,0.871,0.8661,0.863,0.8586,0.8542,0.8526,0.8464,0.844,0.8361,0.833,0.8291,0.8288,0.8198,0.8143,0.8028,0.8002,0.7963,0.7913,0.7829,0.78,0.7792,0.776,0.7631,0.7659,0.7594,0.7519,0.7455,0.7414,0.7395,0.7306,0.7214,0.7212,0.7091,0.7094,0.7088,0.702,0.6927,0.687
0.8961,0.8959,0.8944,0.8933,0.892,0.889,0.8878,0.8849,0.8843,0.8797,0.8796,0.8787,0.876,0.8689,0.8721,0.8658,0.8655,0.8643,0.8596,0.8561,0.8561,0.8539,0.8467,0.8446,0.8436,0.838,0.8402,0.8326,0.8328,0.8274,0.8256,0.8187,0.8197,0.8127,0.8118,0.8093,0.8077,0.804,0.8,0.7926,0.7929,0.7901,0.7849,0.7805,0.7861,0.7799,0.7721,0.7725,0.7655,0.7599
0.8793,0.8787,0.8788,0.8774,0.8769,0.8758,0.8774,0.8728,0.8762,0.8746,0.8733,0.8686,0.8661,0.8642,0.8611,0.8599,0.8587,0.8572,0.8518,0.8535,0.8479,0.8462,0.8464,0.843,0.8402,0.8393,0.8356,0.8319,0.8292,0.8269,0.8256,0.8199,0.8192,0.8144,0.8067,0.8054,0.8084,0.7993,0.7927,0.7888,0.7853,0.7874,0.7817,0.781,0.7718,0.7705,0.7706,0.7647,0.7588,0.7629
0.8887,0.8895,0.8899,0.8887,0.889,0.8879,0.8868,0.8852,0.883,0.8836,0.8769,0.878,0.8748,0.8734,0.8692,0.8643,0.8619,0.8563,0.8608,0.8567,0.8516,0.8513,0.8483,0.848,0.8404,0.8398,0.8389,0.8342,0.8339,0.8339,0.8298,0.8286,0.8258,0.8232,0.8228,0.8242,0.8206,0.8173,0.8102,0.8087,0.8109,0.805,0.8037,0.8011,0.8,0.7984,0.7939,0.796,0.7989,0.7878
0.8966,0.8966,0.8938,0.8934,0.8932,0.89,0.8891,0.8856,0.8869,0.886,0.8826,0.8842,0.8818,0.875,0.8717,0.8705,0.8677,0.8611,0.86,0.8545,0.8486,0.8402,0.8315,0.8255,0.8214,0.8055,0.8053,0.7892,0.7766,0.7698,0.7604,0.7454,0.7277,0.7216,0.708,0.6902,0.6733,0.6675,0.6496,0.6384,0.6227,0.6121,0.6111,0.5968,0.5819,0.5718,0.5651,0.5524,0.543,0.5296
0.8955,0.8967,0.8962,0.8961,0.8966,0.8948,0.8932,0.8906,0.8918,0.8895,0.8885,0.8889,0.8808,0.8805,0.8796,0.8762,0.8729,0.8724,0.8706,0.8659,0.8643,0.8555,0.8576,0.8514,0.8474,0.8432,0.8395,0.8346,0.8329,0.8266,0.821,0.8146,0.808,0.8043,0.799,0.7966,0.7873,0.7833,0.7809,0.7733,0.7662,0.7568,0.7534,0.743,0.7449,0.7325,0.7313,0.7218,0.7152,0.7086
0.8942,0.8939,0.893,0.8904,0.89,0.8891,0.8889,0.887,0.8858,0.8832,0.8795,0.8799,0.8782,0.8791,0.8767,0.875,0.8693,0.8729,0.868,0.8635,0.8636,0.8602,0.8612,0.8541,0.8536,0.8518,0.8506,0.8464,0.8452,0.8389,0.8419,0.8418,0.834,0.8319,0.8323,0.8256,0.8256,0.8154,0.8223,0.8125,0.8128,0.8107,0.8086,0.7997,0.7981,0.7938,0.7914,0.7843,0.7815,0.7848
0.8849,0.8842,0.885,0.8826,0.8828,0.8805,0.8805,0.8786,0.8787,0.8772,0.8754,0.8733,0.8728,0.8716,0.8684,0.8688,0.8688,0.8627,0.861,0.8599,0.8609,0.8607,0.8532,0.8514,0.8515,0.8488,0.8487,0.8471,0.8466,0.8383,0.8416,0.8403,0.838,0.8352,0.8321,0.824,0.8255,0.8214,0.8205,0.8198,0.8173,0.8126,0.8128,0.8129,0.8008,0.8012,0.8045,0.7969,0.7941,0.7898
0.8688,0.8681,0.8673,0.8664,0.8658,0.8637,0.8649,0.8649,0.8645,0.8654,0.865,0.8633,0.8639,0.8606,0.8614,0.8595,0.8612,0.8603,0.8562,0.8546,0.8567,0.8517,0.85,0.8521,0.8498,0.8456,0.8446,0.8421,0.8404,0.8358,0.8355,0.8341,0.8292,0.8291,0.8264,0.8246,0.8276,0.8161,0.8149,0.8165,0.8139,0.8122,0.8104,0.8108,0.8057,0.8059,0.8052,0.7991,0.7959,0.7984
0.8996,0.8994,0.8998,0.8981,0.8986,0.8966,0.8947,0.8924,0.89,0.889,0.8825,0.8791,0.8762,0.8705,0.8655,0.859,0.8526,0.8426,0.838,0.829,0.8243,0.808,0.7984,0.7868,0.7727,0.7623,0.7465,0.7388,0.7128,0.7043,0.6839,0.6808,0.6549,0.6356,0.624,0.6081,0.5965,0.5837,0.5735,0.5532,0.5455,0.5233,0.5127,0.5034,0.4849,0.4872,0.4643,0.4532,0.4444,0.4285
0.8941,0.8939,0.8944,0.8931,0.8928,0.8912,0.8914,0.8897,0.8891,0.8881,0.8846,0.8842,0.8849,0.8812,0.8769,0.8758,0.873,0.8744,0.872,0.8697,0.8631,0.8625,0.8568,0.8573,0.8554,0.852,0.8491,0.8489,0.8397,0.839,0.8284,0.8297,0.8267,0.8221,0.8152,0.812,0.8101,0.8063,0.7985,0.8,0.7955,0.7855,0.7827,0.7708,0.77,0.7707,0.7618,0.756,0.7507,0.7452
0.8913,0.8902,0.8902,0.8887,0.8899,0.8887,0.8877,0.8872,0.8863,0.8859,0.8819,0.8814,0.8816,0.8789,0.878,0.8741,0.8757,0.8725,0.8711,0.868,0.867,0.8619,0.8615,0.8588,0.8598,0.8526,0.8548,0.8488,0.8469,0.8408,0.8397,0.8375,0.8357,0.8339,0.8282,0.8223,0.8182,0.8176,0.8177,0.8091,0.8059,0.8005,0.8012,0.7972,0.7869,0.7848,0.7858,0.7803,0.7775,0.7698
0.8823,0.8817,0.881,0.8804,0.8811,0.8784,0.8784,0.8786,0.8774,0.8764,0.873,0.8733,0.8752,0.8686,0.8704,0.8672,0.8648,0.8645,0.865,0.8623,0.8579,0.8611,0.8587,0.8523,0.8515,0.8523,0.8496,0.8466,0.8443,0.8439,0.8415,0.8384,0.8393,0.8374,0.8311,0.832,0.8323,0.8256,0.8226,0.8228,0.8165,0.8145,0.8138,0.8166,0.8111,0.8036,0.804,0.7981,0.7915,0.7969
0.8873,0.8862,0.8857,0.8871,0.8851,0.8839,0.8825,0.8813,0.8811,0.8796,0.8791,0.8763,0.8757,0.8737,0.8742,0.8706,0.8703,0.8685,0.867,0.8641,0.8595,0.8557,0.8579,0.8586,0.8547,0.8516,0.8515,0.848,0.8498,0.8451,0.8472,0.8435,0.8367,0.8398,0.8381,0.8358,0.834,0.8283,0.8324,0.8298,0.8191,0.8202,0.8211,0.821,0.8159,0.8145,0.8104,0.8057,0.8077,0.8046
0.9003,0.8993,0.8973,0.897,0.8956,0.8957,0.8961,0.8936,0.8949,0.8907,0.8891,0.8879,0.8871,0.8823,0.88,0.8787,0.8754,0.8673,0.865,0.8563,0.8539,0.8412,0.8324,0.8216,0.818,0.8004,0.7922,0.7795,0.7656,0.7504,0.7397,0.7272,0.705,0.6922,0.6819,0.6653,0.6471,0.6416,0.6318,0.616,0.6027,0.593,0.5746,0.5683,0.5553,0.5451,0.5342,0.5203,0.5113,0.5056
0.897,0.8959,0.8954,0.8962,0.8955,0.8947,0.8927,0.8922,0.8889,0.8912,0.8877,0.8868,0.8866,0.8844,0.883,0.8827,0.8796,0.8751,0.8705,0.8741,0.8711,0.8698,0.8656,0.8637,0.8576,0.8581,0.8495,0.849,0.8504,0.8413,0.8379,0.8403,0.8301,0.8294,0.8246,0.8186,0.8163,0.8142,0.8099,0.8069,0.7966,0.7954,0.7846,0.78,0.7802,0.7708,0.7645,0.7602,0.7519,0.7503
0.8775,0.8777,0.8782,0.8771,0.8772,0.8746,0.8763,0.8757,0.8753,0.8742,0.8738,0.8743,0.8731,0.8708,0.8677,0.8672,0.867,0.8687,0.8643,0.8631,0.8623,0.8612,0.8578,0.8563,0.8575,0.8513,0.8548,0.8496,0.8485,0.8472,0.8393,0.838,0.8338,0.837,0.8297,0.8269,0.8299,0.8285,0.8183,0.8194,0.819,0.8121,0.814,0.8094,0.8074,0.8007,0.8011,0.7928,0.7901,0.7866
0.8838,0.8836,0.8838,0.8837,0.8822,0.8805,0.8811,0.88,0.8791,0.8781,0.8759,0.8742,0.8755,0.8726,0.8681,0.8698,0.87,0.8683,0.8671,0.863,0.8617,0.8625,0.8621,0.8584,0.8569,0.8543,0.8504,0.85,0.8494,0.8467,0.847,0.8416,0.8401,0.8417,0.8398,0.8332,0.8383,0.8317,0.8276,0.8303,0.8251,0.8209,0.8182,0.8223,0.8174,0.8136,0.8126,0.8055,0.8077,0.8061
0.8761,0.8766,0.8757,0.876,0.8732,0.8736,0.8731,0.8715,0.8707,0.8704,0.8665,0.8669,0.8659,0.8664,0.8664,0.8611,0.8597,0.857,0.8573,0.855,0.8506,0.8497,0.8497,0.8461,0.8414,0.8438,0.8419,0.8397,0.8403,0.835,0.8327,0.8281,0.83,0.8271,0.829,0.8201,0.8259,0.8188,0.8193,0.8175,0.8143,0.8074,0.8062,0.8084,0.8001,0.8034,0.8073,0.798,0.8018,0.7977
